,Review,Brand,Total Rating,Look Rating,Smell Rating,Taste Rating,Feel Rating,Overall Rating
0,"Had low expectations. But, my gawd! This beer blew me away. Easily the best porter I’ve ever had.",Kaggen! Stormaktsporter ,4.94,5.0,4.75,5.0,5.0,5.0
1,"Excellent Porter. One of the best. Roasty, complex, bold. Super challenging to acquire but definitely worth the chase. Got to try High Coast next to it too. Amazing combo!!!",Kaggen! Stormaktsporter ,4.25,4.25,4.25,4.25,4.25,4.25
2,"Pours jet black with a small tan head. Intense roast bordering on Smokey. Chocolate. Definitely some bourbon heat along with vanilla infused oak. Quite dry. Heat of the alcohol overwhelms my palate making tough to judge IBUs. Full bodied, long lasting finish.",Kaggen! Stormaktsporter ,4.63,4.5,4.5,4.75,4.75,4.5
3,"Bottle, RBESG 2007 in Glasgow, Grand Tasting. Pitch black colour, creamy brown head. Very nice aroma of chocolate and roasted malts, hints of oak. Intensely rich and complex flavour: oaky, vinous, roasty, chocolate, liquorice. An excellent beer, but so is the ""ordinary"" Stormaktsporter.",Kaggen! Stormaktsporter ,4.44,4.75,4.5,4.5,4.25,4.25
4,"2018 Bottle in a BIF courtesy of MTKATL', '\n', '\nL: Jet black with a caramel colored head', '\n', '\nS: Smokey, heavy dark fruit notes', '\n', '\nT: Smokey and reminent of Black Albert, a better overall representation of a European porter. Very enjoyable, dark fruits. Has a hint of barrel, despite not being a ba stout', '\n', '\nF: Thick and heavy, surprisingly so for being non BA', '\n', '\nO: Very happy to have tried this beer, it is a throwback and still masterfully done.",Kaggen! Stormaktsporter ,4.57,4.75,4.5,4.5,5.0,4.5
5,"""2018. Was fine. Wasn't as great as I expected. Pretty light, smoky taste. Nice body for a porter. Comes in a very small bottle, around 8.2 ounces.""",Kaggen! Stormaktsporter ,3.87,4.0,3.75,4.0,3.75,3.75
6,"2014 review.... it’s boozy, but I’m no way does this compare to today’s barrel aged beers or flavored barrel aged stouts, this is crap...... boozy and messy. Low grade fuel and GTFOH with stupid old money v new money comments",Kaggen! Stormaktsporter ,2.35,3.75,2.5,2.0,2.75,2.25
7,"2019 Vintage. Consuming on 9/19/22. Dang this is good. For a 14.7%, the alcohol is almost nonexistent. I could get in trouble with this one.",Bourbon County Brand Stout ,4.69,4.75,4.5,4.75,4.75,4.75
8,"Stouts, especially Imperial Stouts, are my favorite style, so I try them whenever I can. Even though Bourbon County changes slightly every year, for me it is the zenith, the benchmark against all others are judged. The viscosity is delightful; other Imperial Stouts are so thin and weak by comparison. And the complexity is amazing. I introduce people to it every year, give them a small glassful without introduction and ask them what they think they are drinking. People are always fascinated by the range of flavors, and only a few guess that it is a beer!', '\nEvery year, my friends and I buy up as much as we can get our hands on. And if you can find it on tap, I like it even better.",Bourbon County Brand Stout ,5.0,5.0,5.0,5.0,5.0,5.0
9,"This review is based on a 2020 label date opened in 2022, stored under dark refrigeration. This beer ages well, no doubt. ', '\n', '\nLook: Very dark, and is about as translucent as used Diesel motor oil, which is to say it is quite opaque. It is a very dark brown in color, with a medium brown head. ', '\n', '\nSmell and taste: Bourbon (of course), chocolate, tobacco, some dried hay, some smoke but not a lot. and more and more roasted loveliness. The alcohol burn is there, but it really just transports all of the flavors to the nose and tongue and is not overly intrusive. Everything is balanced, which is a characteristic of all of my favorite beers. Take a sip, and contemplate all of the different flavors as they dance across your tongue from start to finish, front to back. There is a lot of variety here. ', '\n', '\nFeel: As at least one other review mentions, for its massive burst of robust, intense flavor, it is not a thick beer, but is surprisingly thin. It is not a make-or-break for the beer, just an interesting characteristic. ""', '\n', '\nOverall: One of my top 10 beers (The old bomber Karbach BBHs, La Fin Du Monde, Avery Reverend, Aventinus, Real Ale Sisyphus, Avery Maharaja, Ranger Creek Wee Heavy, any dark ale from Double Mountain in Oregon, New Belgium Ranger Imperial IPA)', '\n', '\nI always drink these out of a Bordeaux style wine glass since it concentrates the scent of the beer. I usually pour one right out of the fridge and drink it slowly over an hour or so, savoring the considerable shifts in flavor as it warms up. The coffee and the chocolate notes become more predominant, and the complexity bursts forth. The finish also becomes more Aventinus like and will linger on the tongue as long as you want it to. There is a strange stage about 20 minutes in when a burnt nut bitterness becomes more apparent amongst all of the other flavors. But, fret not, just wait and it will revert back to its full palate. ', '\n', ""\nI don't love my favorite beers because they score high on this site. I love them because they are fantastic. This is a fantastic beer.""",Bourbon County Brand Stout ,4.84,5.0,4.75,5.0,4.5,4.75
10,"A: when pored the appearance is as black as can be. This beer is so dark, the foam appears to be a dark brown rather than the the typical white. This appearance is how you know this will be a serious stout.', '\n', '\nS: There are definitely notes of bourbon in the aroma. You can also detect notes of roasted barley and oak.', '\n', '\nT: The taste of this brew is suburb for an imperial stout. There is a rich blend of flavors from the oak, the bourbon and the malts. While there is also some hop presence, its really the bourbon that takes center stage here. This is definitely the gold standard for a barreled aged beer. ', '\n', '\nM: The mouth feel is very warming. That is to be expected at with a beer with a big abv like this one. This is definitely something you want to drink in the colder weather,', '\n', ""\nO: Overall Goose island nailed this style. I don't often give 5 star ratings but this brew earned it. It is such a rich imperial stout that drinks very smoothly. It is one of the best beers I have ever drank. Final rating 5/5.""",Bourbon County Brand Stout ,5.0,5.0,5.0,5.0,5.0,5.0
